,uid,stemmed
0,60730027,"[u'thediscovietnam', u'shit', u'aint', u'lettin', u'dm', u'back', u'what', u'email']"
1,60730027,"[u'thediscovietnam', u'hey', u'codi', u'quick', u'questioncan', u'dm']"
2,60730027,"[u'smokinvinyl', u'dang', u'need', u'anyth', u'got', u'left', u'med']"
3,60730027,"[u'mayb', u'im', u'late', u'game', u'one', u'lowend', u'vst', u'make', u'apt', u'rumbl']"
4,60730027,"[u'realli', u'hope', u'ai', u'make', u'second', u'chanc', u'philli', u'im', u'glad', u'he', u'goin', u'home']"
5,60730027,"[u'smokinvinyl', u'danni', u'boy', u'wanna', u'check', u'dnice', u'afex', u'1', u'year', u'tonight', u'pregam', u'mine', u'walk']"
6,60730027,"[u'ppl', u'care', u'make', u'sure', u'let', u'know', u'life', u'short', u'lose', u'friend', u'bullshit', u'peac', u'love']"
7,60730027,"[u'shit', u'weigh', u'heavi', u'take', u'respons', u'life', u'dont', u'blame', u'anyon', u'world']"
8,60730027,"[u'includ', u'last', u'fail', u'relationship', u'know', u'none', u'ground', u'realiti', u'actual', u'worri']"
9,60730027,"[u'soi', u'got', u'string', u'text', u'last', u'night', u'someon', u'havent', u'heard', u'long', u'time', u'blame', u'everyth', u'wrong', u'life']"
10,60730027,"[u'thank', u'echo', u'park', u'youv', u'chang', u'lot', u'long', u'im', u'get', u'paid', u'make', u'move', u'im', u'still']"
11,60730027,"[u'fat', u'albert', u'einstein', u'goin', u'right', u'now']"
12,60730027,"[u'saturday', u'night', u'tavern']"
13,60730027,"[u'friday', u'night', u'griffin']"
14,60730027,"[u'tonight', u'runnin', u'730', u'your', u'faderz', u'10', u'10', u'cant', u'beat', u'wit', u'bat']"
15,60730027,"[u'smokinvinyl', u'oh', u'got', u'sorri', u'hear', u'youll', u'back', u'time']"
16,60730027,"[u'bangbangphoto', u'talkin', u'still', u'aint', u'follow']"
17,60730027,"[u'freedom', u'choic']"
18,http://bit.ly/6UCnNX (via @Imawarchild) --FUCK YOU OLD MAN.,[u'nan']
19,60730027,"[u'save', u'date', u'dec', u'29th', u'damfunk', u'full', u'band', u'live', u'set', u'pase', u'rock', u'skeet', u'skeet', u'host', u'daymeon', u'via', u'themjeansthatsa', u'master', u'blazter']"
20,60730027,"[u'go', u'go', u'go', u'rsvp', u'christma', u'parti', u'fill', u'detail', u'click', u'away', u'via', u'larecord', u'yay']"
21,60730027,"[u'ha', u'ha', u'hornet', u'just', u'took', u'intent', u'foul', u'tri', u'keep', u'stapl', u'crowd', u'get', u'taco', u'didnt', u'work', u'anyhow']"
22,60730027,"[u'imawarchild', u'your', u'favorit', u'thank', u'crack']"
23,60730027,"[u'lake', u'20', u'half', u'cant', u'wait', u'til', u'can', u'get', u'competit']"
24,60730027,"[u'week', u'gig', u'tomorrow', u'night', u'barragan', u'echo', u'park', u'friday', u'night', u'griffin', u'atwat', u'saturday', u'night', u'hyperion', u'tavern', u'slake']"
25,60730027,"[u'love', u'world']"
26,60730027,"[u'good', u'note', u'star', u'trek', u'lookin', u'cadet', u'jacket', u'badass']"
27,60730027,"[u'now', u'im', u'gonna', u'watch', u'follow', u'ticker', u'roll', u'backward']"
28,60730027,"[u'idk', u'man', u'heart', u'heavi', u'right', u'now', u'think', u'lot', u'hope', u'just', u'went', u'window']"
29,60730027,"[u'alright', u'let', u'hear', u'obama']"
30,60730027,"[u'just', u'shoot', u'street', u'anoth', u'one', u'way', u'go', u'asshol']"
31,60730027,"[u'afghanistan', u'trend', u'topic', u'tiger', u'wood', u'still', u'way', u'go']"
32,60730027,"[u'afghanistan', u'situat', u'good', u'come', u'blood', u'street', u'red', u'alreadi']"
33,60730027,"[u'need', u'psyreious', u'outer', u'worldli', u'experi', u'soon']"
34,60730027,"[u'sonnyco', u'hey', u'man', u'major', u'heavi', u'major', u'heavi', u'great', u'job']"
35,60730027,"[u'afp', u'total', u'122', u'peopl', u'die', u'iraq', u'last', u'month', u'lowest', u'toll', u'sinc', u'usl', u'invas', u'2003', u'via', u'breakingnewsperspect']"
36,60730027,"[u'dock', u'elliss', u'anim', u'retel', u'hitter', u'pitch', u'trip', u'acid', u'via', u'sonnyco', u'funni']"
37,60730027,"[u'likepacdiv', u'good', u'rhyme']"
38,60730027,"[u'exileradio', u'sexi', u'exi']"
39,60730027,"[u'listen', u'dad', u'music', u'slept', u'great', u'via', u'exileradio', u'can', u'shine']"
40,28835844,"[u'ton', u'new', u'denim']"
41,28835844,"[u'brainwreck', u'releas', u'soon', u'get', u'hotrod']"
42,28835844,[u'come']
43,28835844,"[u'new', u'classic', u'selvedg', u'denim', u'cotton', u'slim', u'pant']"
44,28835844,"[u'new', u'rippper']"
45,28835844,"[u'staff', u'hotrod', u'offici', u'build', u'will', u'back', u'organ', u'latt']"
46,28835844,"[u'peep', u'new', u'hr', u'premium', u'holiday', u'collect']"
47,http://bit.ly/CKbv4,[u'nan']
48,28835844,[]
49,28835844,"[u'ton', u'new', u'winter', u'wear', u'hotrod', u'get', u'now']"
50,28835844,"[u'rain', u'like', u'crazi', u'hotrod']"
51,28835844,"[u'toddbratrud', u'shoe', u'releas', u'soon']"
52,28835844,[u'click']
53,28835844,"[u'nike', u'sb', u'dunk', u'high', u'brain', u'wreck', u'call', u'hotrod', u'right', u'now', u'learn', u'3104465527']"
54,28835844,"[u'upload', u'youtub', u'video', u'mishka', u'holiday', u'collect', u'van', u'classic', u'hotrod', u'call', u'3104465527', u'now']"
55,28835844,"[u'upload', u'youtub', u'video', u'nike', u'sb', u'2009', u'releas', u'hotrod', u'call', u'3104465527', u'now', u'get', u'pairw']"
56,28835844,"[u'upload', u'youtub', u'video', u'new', u'hotrod', u'horror', u'shirt', u'releas', u'teal', u'bright', u'greenhotrod', u'call', u'310']"
